feature_ind,sketch_id
95,3169-1a552a49-44e5-4a78-bed6-72a6aca82625_15
96,3169-1a552a49-44e5-4a78-bed6-72a6aca82625_21
97,3169-1a552a49-44e5-4a78-bed6-72a6aca82625_26
98,3169-1a552a49-44e5-4a78-bed6-72a6aca82625_3
99,3169-1a552a49-44e5-4a78-bed6-72a6aca82625_5
100,3257-2f4b83dc-a618-4194-a666-67e8a3f5539d_1
101,3257-2f4b83dc-a618-4194-a666-67e8a3f5539d_17
102,3257-2f4b83dc-a618-4194-a666-67e8a3f5539d_20
103,3257-2f4b83dc-a618-4194-a666-67e8a3f5539d_32
104,3485-477008c1-e529-4ad0-a62b-df33c782a5e3_1
105,3485-477008c1-e529-4ad0-a62b-df33c782a5e3_10
106,3485-477008c1-e529-4ad0-a62b-df33c782a5e3_19
107,3485-477008c1-e529-4ad0-a62b-df33c782a5e3_20
108,3485-477008c1-e529-4ad0-a62b-df33c782a5e3_4
109,3741-3d676fa8-13ae-4785-8a62-7cc820eaccb0_3
110,3741-3d676fa8-13ae-4785-8a62-7cc820eaccb0_4
111,3741-3d676fa8-13ae-4785-8a62-7cc820eaccb0_8
112,3956-be947e80-531d-42ce-b238-e0b3bd997edf_14
113,3956-be947e80-531d-42ce-b238-e0b3bd997edf_21
114,3956-be947e80-531d-42ce-b238-e0b3bd997edf_23
115,3956-be947e80-531d-42ce-b238-e0b3bd997edf_25
116,3956-be947e80-531d-42ce-b238-e0b3bd997edf_3
117,3956-be947e80-531d-42ce-b238-e0b3bd997edf_4
118,4088-45a9d4bd-2ce2-4404-8743-5d9a30dc38e2_15
119,4088-45a9d4bd-2ce2-4404-8743-5d9a30dc38e2_2
120,4088-45a9d4bd-2ce2-4404-8743-5d9a30dc38e2_3
121,4088-45a9d4bd-2ce2-4404-8743-5d9a30dc38e2_31
122,4088-45a9d4bd-2ce2-4404-8743-5d9a30dc38e2_6
123,4409-c993cc06-d675-4acb-881f-b5377cf24d71_18
124,4409-c993cc06-d675-4acb-881f-b5377cf24d71_2
125,4409-c993cc06-d675-4acb-881f-b5377cf24d71_25
126,4409-c993cc06-d675-4acb-881f-b5377cf24d71_32
127,4409-c993cc06-d675-4acb-881f-b5377cf24d71_5
128,4409-c993cc06-d675-4acb-881f-b5377cf24d71_7
129,4409-c993cc06-d675-4acb-881f-b5377cf24d71_8
130,4609-852cfd4d-44d8-42fc-9c7c-8460ce918f16_10
131,4609-852cfd4d-44d8-42fc-9c7c-8460ce918f16_14
132,4609-852cfd4d-44d8-42fc-9c7c-8460ce918f16_17
133,4609-852cfd4d-44d8-42fc-9c7c-8460ce918f16_18
134,4609-852cfd4d-44d8-42fc-9c7c-8460ce918f16_19
135,4609-852cfd4d-44d8-42fc-9c7c-8460ce918f16_23
136,4609-852cfd4d-44d8-42fc-9c7c-8460ce918f16_28
137,4609-852cfd4d-44d8-42fc-9c7c-8460ce918f16_3
138,5325-5c1c06e3-3674-4ae6-add2-d188a9a7c4b5_1
139,5325-5c1c06e3-3674-4ae6-add2-d188a9a7c4b5_12
140,5325-5c1c06e3-3674-4ae6-add2-d188a9a7c4b5_14
